Part of speech,Rank,English translation,Russian word
conjunction,1.,"and, though",и 
preposition,2. ,"in, at",в 
particle,3. ,not,не 
pronoun,4. ,he,он 
preposition,5. ,"on, it, at, to",на 
pronoun,6. ,I,я 
"сonjunction, pronoun",7. ,"what, that, why",что 
"adjective, pronoun",8. ,that,тот 
verb,9. ,to be,быть 
preposition,10. ,"with, and, from, of",с 
conjunction,11. ,"while, and, but",а 
"pron, noun",12. ,"all, everything",весь 
pronoun,13. ,"that, this, it",это 
"adverb, conj",14. ,"how, what, as, like",как 
pronoun,15. ,she,она 
preposition,16. ,"on, along, by",по 
"conjunction, noun",17. ,but,но 
pronoun,18. ,they,они 
preposition,19. ,"to, for, by",к 
preposition,20. ,"by, with, of",у 
pronoun,21. ,"you, thou",ты 
preposition,22. ,"from, of, in",из 
pronoun,23. ,we,мы 
preposition,24. ,"behind, over, at, after",за 
pronoun,25. ,you,вы 
adverb,26. ,"so, thus, then",так 
"conj, particle",27. ,"and, as for, but, same",же 
preposition,28. ,"from, of, for",от 
verb,29. ,"to say, to speak",сказать 
pronoun,30. ,this,этот 
pronoun,31. ,"which, who, that",который 
verb,32. ,be able,мочь 
noun,33. ,"man, person",человек 
preposition,34. ,"of, about, against",о 
"cardinal number, pronoun",35. ,"one, some, alone",один 
adverb,36. ,"still, yet",ещё 
particle,37. ,would,бы 
pronoun,38. ,"such, so, some",такой 
"adverb, conj",39. ,"only, merely, but",только 
"pron, particle",40. ,"myself, himself, herself",себя 
"pronoun, noun",41. ,"one's own, my, our",своё 
pronoun,42. ,"what, which, how",какой 
"adverb, conj",43. ,"when, while, as",когда 
adverb,44. ,"already, by now",уже 
preposition,45. ,"for, to",для 
particle,46. ,"here, there, this is, that's",вот 
pronoun,47. ,"who, that, some",кто 
"conj, particle",48. ,"yes, but",да 
verb,49. ,"to say, to tell, to speak",говорить 
noun,50. ,year,год 
Part of speech,Rank ,English translation  ,Russian word  
verb,51. ,"to know, be aware","
знать "
pronoun,52. ,"my, mine",мой 
preposition,53. ,"to, up to, about, before",до 
conjunction,54. ,or,или 
conjunction,55. ,if,если 
noun,56. ,"time, season",время 
noun,57. ,"hand, arm",рука 
negation,58. ,"no, not, but",нет 
pronoun,59. ,"most, the very, the same",самый 
"conj, particle",60. ,"not a, not, neither… nor",ни 
verb,61. ,"to become, begin, come",стать 
adjective,62. ,"big, large, important",большой 
particle,63. ,even,даже 
pronoun,64. ,"other, another, different",другой 
pronoun,65. ,"our, ours",наш 
pronoun,66. ,"my, our, your",свой 
"interj, particle",67. ,"now, right, well, come on",ну 
preposition,68. ,"under, for, towards, to",под 
adverb,69. ,where,где 
noun,70. ,"business, affair, matter",дело 
verb,71. ,"to eat, to be",есть 
pronoun,72. ,"myself, yourself",сам 
"noun, adverb",73. ,"time, once, since",раз 
"conjunction, particle",74. ,"that, in order that",чтобы 
cardinal number,75. ,two,два 
adverb,76. ,"there, then",там 
"conjunction, particle",77. ,than; instead of,чем 
noun,78. ,eye; sight,глаз 
noun,79. ,life,жизнь 
"adjective, number",80. ,"first, front, former",первый 
noun,81. ,day,день 
adverb,82. ,"here, now, then",тут 
"preposition, particle",83. ,"in, at; super, exactly",во 
pronoun,84. ,nothing,ничто 
adverb,85. ,"afterwards, then",потом 
adverb,86. ,very,очень 
preposition,87. ,with,со 
verb,88. ,"to want, like",хотеть 
"conj, particle",89. ,"whether, if",ли 
preposition,90. ,"attached to, in the presence of, by, about; masterrussian, dot com",при 
noun,91. ,"head, mind, brains",голова 
"prep, verb",92. ,"over, above, ought to",надо 
preposition,93. ,without,без 
verb,94. ,to see,видеть 
verb,95. ,"to go, come",идти 
adverb,96. ,"now, nowadays",теперь 
adverb,97. ,"also, as well, too",тоже 
verb,98. ,"to stand, be, stand up",стоять 
noun,99. ,friend,друг 
noun,100. ,"house, home",дом 
Part of speech,Rank ,English translation      ,Russian word  
adverb,101. ,"now, presently, soon",сейчас 
predicate,102. ,one can,можно 
preposition,103. ,"after, afterwards",после 
noun,104. ,word,слово 
adverb,105. ,here,здесь 
verb,106. ,to think; believe,думать 
noun,107. ,place; seat,место 
verb,108. ,to ask,спросить 
preposition,109. ,"through, across",через 
noun,110. ,face; person,лицо 
pronoun,111. ,"what, which, that",что 
adverb,112. ,then,тогда 
conj,113. ,"you see, you know",ведь 
adjective,114. ,"good, nice (see #152)",хороший 
pronoun,115. ,"each, every",каждый 
adjective,116. ,new; modern,новый 
verb,117. ,to live,жить 
adjective,118. ,"due, proper",должный 
verb,119. ,"to look, watch",смотреть 
adverb,120. ,why,почему 
adverb,121. ,that's why,потому 
noun,122. ,"side, party",сторона 
adverb,123. ,simply,просто 
noun,124. ,"foot, leg",нога 
verb,125. ,to sit,сидеть 
verb,126. ,to understand; realize,понять 
verb,127. ,"to have, own",иметь 
adjective,128. ,"final, last",конечный 
verb,129. ,"to do, make",делать 
adverb,130. ,suddenly,вдруг 
preposition,131. ,"above, over",над 
verb,132. ,to take,взять 
pronoun,133. ,nobody,никто 
verb,134. ,"to do, make, finish",сделать 
noun,135. ,door,дверь 
preposition,136. ,"before, in front of",перед 
adjective,137. ,necessary,нужный 
verb,138. ,to understand,понимать 
verb,139. ,"to seem, appear; masterrussian, dot com",казаться 
noun,140. ,"work, job",работа 
cardinal number,141. ,three,три 
pronoun,142. ,yours,ваш 
"adverb,  particle",143. ,"really, already",уж 
noun,144. ,"earth, land, soil",земля 
noun,145. ,"end, distance",конец 
adverb,146. ,"several, some",несколько 
noun,147. ,"hour, time",час 
noun,148. ,voice,голос 
noun,149. ,"town, city",город 
adjective,150. ,"last, the latest, new",последний 
Part of speech,Rank ,English translation  ,Russian word  
adverb,151. ,for the present,пока 
adverb,152. ,well (see #114),хорошо 
verb,153. ,"to give; let, allow",давать 
noun,154. ,water,вода 
adverb,155. ,more,более 
conjunction,156. ,although,хотя 
adverb,157. ,always,всегда 
ordinal number,158. ,second,второй 
adverb,159. ,"where, what for, much",куда 
verb,160. ,to go,пойти 
noun,161. ,"table, desk; board",стол 
noun,162. ,"child, kid, infant",ребёнок 
verb,163. ,to see,увидеть 
noun,164. ,"strength, force",сила 
noun,165. ,father (see #918),отец 
noun,166. ,woman,женщина 
noun,167. ,"car, machine, engine",машина 
noun,168. ,"case, occasion, incident",случай 
noun,169. ,night,ночь 
adverb,170. ,"at once, right away, just",сразу 
noun,171. ,"world, peace",мир 
adverb,172. ,"quite, entirely, totally",совсем 
verb,173. ,"to remain, stay (see #297)",остаться 
preposition,174. ,"about, of (see #34)",об 
noun,175. ,"appearance, look, view",вид 
verb,176. ,"to go out, come out, appear",выйти 
verb,177. ,"to give; masterrussian, dot com",дать 
verb,178. ,to work,работать 
verb,179. ,to love,любить 
adjective,180. ,old,старый 
adverb,181. ,almost,почти 
noun,182. ,"row, line",ряд 
verb,183. ,"find oneself, turn out",оказаться 
noun,184. ,"beginning, origin, source",начало 
pronoun,185. ,"your, yours (informal)",твой 
noun,186. ,"question, matter, problem",вопрос 
adverb,187. ,"many, much (see #799)",много 
noun,188. ,war,война 
adverb,189. ,again,снова 
verb,190. ,"to answer, reply (see #404)",ответить 
preposition,191. ,"between, among",между 
verb,192. ,to think,подумать 
adverb,193. ,again,опять 
adjective,194. ,white,белый 
noun,195. ,money,деньги 
verb,196. ,"to mean,  signify",значить 
preposition,197. ,"about, for",про 
"adverb, conj",198. ,"only, as soon as",лишь 
noun,199. ,"minute, moment",минута 
noun,200. ,wife,жена 
Part of speech,Rank ,English translation  ,Russian word  
verb,201. ,"to take a look, watch, inspect",посмотреть 
noun,202. ,truth,правда 
adjective,203. ,"main, chief",главный 
noun,204. ,country,страна 
noun,205. ,light;world,свет 
verb,206. ,to wait,ждать 
noun,207. ,mother,мать 
conjunction,208. ,"as if, as though",будто 
adverb,209. ,never,никогда 
noun,210. ,"comrade, friend",товарищ 
noun,211. ,"road, way, journey",дорога 
"conj,  misc",212. ,"however, though",однако 
verb,213. ,"to lie, be situated",лежать 
misc,214. ,"namely, just",именно 
noun,215. ,"window, windowsill",окно 
pronoun,216. ,"no, none",никакой 
verb,217. ,"to find, discover, consider",найти 
verb,218. ,to write,писать 
noun,219. ,a room,комната 
noun,220. ,Moscow,Москва 
noun,221. ,"part, share, department",часть 
adverb,222. ,"in general, altogether, on the whole",вообще 
noun,223. ,a book,книга 
adjective,224. ,"small, little",маленький 
noun,225. ,"street; masterrussian, dot com",улица 
verb,226. ,"to decide, solve",решить 
adjective,227. ,"distant, remote",далекий 
noun,228. ,"soul, spirit",душа 
adverb,229. ,"hardly, slightly",чуть 
verb,230. ,to return,вернуться 
noun,231. ,morning,утро 
pronoun,232. ,some,некоторый 
verb,233. ,"to count, consider",считать 
cardinal,234. ,"how much, how many",сколько 
verb,235. ,to remember,помнить 
noun,236. ,evening,вечер 
noun,237. ,floor; sex,пол 
particle,238. ,after all,таки 
verb,239. ,"to receive, get, obtain",получить 
noun,240. ,"people, nation",народ 
noun,241. ,"shoulder, upper arm",плечо 
conjunction,242. ,"even, if you want, though",хоть 
adverb,243. ,today,сегодня 
noun,244. ,god,бог 
adverb,245. ,together,вместе 
noun,246. ,"look, glance; view",взгляд 
verb,247. ,"to go, walk",ходить 
adverb,248. ,"what for, why",зачем 
adjective,249. ,Soviet,советский 
adjective,250. ,Russian,русский 
verb,251. ,"be, visit, happen",бывать 
adj,252. ,"full, complete",полный 
verb,253. ,"to come, arrive (see #464)",прийти 
noun,254. ,"finger, toe",палец 
noun,255. ,Russia,Россия 
pronoun,256. ,"any, every",любой 
noun,257. ,"history, story, event",история 
adverb,258. ,"at last, finally",наконец 
noun,259. ,"thought, idea",мысль 
verb,260. ,"to know, learn, recognize",узнать 
adverb,261. ,"back, backwards",назад 
adjective,262. ,"general, common",общий 
verb,263. ,"to notice, observe",заметить 
conjunction,264. ,"as if, like",словно 
adjective,265. ,past,прошлый 
verb,266. ,"to leave, go away",уйти 
adjective,267. ,"well-known, famous",известный 
adverb,268. ,long ago,давно 
verb,269. ,to hear,слышать 
verb,270. ,"to listen, hear",слушать 
verb,271. ,"to be afraid, fear",бояться 
noun,272. ,son,сын 
predicate,273. ,"it is impossible, can't",нельзя 
adverb,274. ,"straight, frankly",прямо 
adverb,275. ,for a long time,долго 
adverb,276. ,"fast, quickly",быстро 
noun,277. ,forest,лес 
adjective,278. ,"similar, alike",похожий 
noun,279. ,time; pore (see #1000),пора 
cardinal number,280. ,five,пять 
verb,281. ,"to look,  gaze",глядеть 
pronoun,282. ,it,оно 
verb,283. ,to sit,сесть 
noun,284. ,name,имя 
misc,285. ,"and, as for, but (see #27)",ж 
noun,286. ,"talk, conversation",разговор 
noun,287. ,body,тело 
adjective,288. ,young (see #679); bridegroom (as a noun),молодой 
noun,289. ,wall,стена 
adjective,290. ,red,красный 
verb,291. ,to read,читать 
noun,292. ,right,право 
noun,293. ,old man,старик 
adjective,294. ,early,ранний 
misc (impersonal),295. ,"want, like",хотеться 
noun,296. ,"mummy, mum",мама 
verb,297. ,"to remain, stay (see #173)",оставаться 
adjective,298. ,"tall, high",высокий 
noun,299. ,"way, track, path",путь 
adverb,300. ,therefore,поэтому 
Part of speech,Rank ,English translation  ,Russian word  
adverb,301. ,"absolutely, quite",совершенно 
preposition,302. ,"except, besides",кроме 
cardinal number,303. ,a thousand,тысяча 
noun,304. ,month,месяц 
verb,305. ,to take; hire,брать 
verb,306. ,to write,написать 
adjective,307. ,"intact, whole, entire",целый 
adjective,308. ,"huge, enormous",огромный 
verb,309. ,to begin (see #413),начинать 
noun,310. ,back,спина 
adjective,311. ,"present;real, true",настоящий 
"conj, particle",312. ,"let's, though",пусть 
noun,313. ,"tongue, language",язык 
adverb,314. ,exactly,точно 
preposition,315. ,among,среди 
verb,316. ,to feel,чувствовать 
noun,317. ,heart,сердце 
verb,318. ,to lead,вести 
adverb,319. ,sometimes,иногда 
noun,320. ,boy,мальчик 
verb,321. ,"to be in time, be successful",успеть 
noun,322. ,sky,небо 
adjective,323. ,"living, live, lively",живой 
noun,324. ,death,смерть 
verb,325. ,to continue,продолжать 
noun,326. ,"girl, miss (see #524)",девушка 
noun,327. ,"shape, form, image",образ 
preposition,328. ,"to, towards, by (see #19)",ко 
verb,329. ,to forget,забыть 
preposition,330. ,around,вокруг 
noun,331. ,letter,письмо 
noun,332. ,power,власть 
adjective,333. ,black (see #456),чёрный 
verb,334. ,"to pass, go by, be over (see #543)",пройти 
verb,335. ,"to appear, show up (see #699)",появиться 
noun,336. ,air,воздух 
adjective,337. ,different,разный 
verb,338. ,to go out; nurse (see #176),выходить 
verb,339. ,to ask,просить 
noun,340. ,brother,брат 
adjective,341. ,"one's own; masterrussian, dot com",собственный 
noun,342. ,"relationship, attitude",отношение 
adverb,343. ,"then, after that",затем 
verb,344. ,to try,пытаться 
verb,345. ,"to show, display",показать 
verb,346. ,"to remember, recall",вспомнить 
noun,347. ,system,система 
cardinal number,348. ,four,четыре 
noun,349. ,"flat, apartment",квартира 
verb,350. ,"to hold, keep",держать 
misc,351. ,"also, as well, too",также 
noun,352. ,love,любовь 
noun,353. ,soldier,солдат 
adverb,354. ,where… from,откуда 
misc,355. ,"that, in order that, (See #74)",чтоб 
verb,356. ,"to call, name, (See #597)",называть 
ordinal number,357. ,third,третий 
noun,358. ,"master, boss, host",хозяин 
"preposition, particle",359. ,"like, not unlike",вроде 
verb,360. ,"to leave, go away",уходить 
verb,361. ,"to approach, come up(See #798)",подойти 
verb,362. ,"to lift, raise",поднять 
adverb,363. ,"especially, particularly",особенно 
verb,364. ,"to ask, inquire",спрашивать 
noun,365. ,"chief, head, superior",начальник 
numeral,366. ,both,оба 
verb,367. ,to throw,бросить 
noun,368. ,school,школа 
noun,369. ,"boy, fellow, guy",парень 
noun,370. ,blood,кровь 
cardinal numberinal number,371. ,twenty,двадцать 
noun,372. ,sun,солнце 
noun,373. ,week,неделя 
verb,374. ,"to send, dispatch",послать 
verb,375. ,"to be found, turn up",находиться 
noun,376. ,"guys, children",ребята 
verb,377. ,"to put, place, set",поставить 
verb,378. ,"to get up, rise, stand up",встать 
misc,379. ,"for example, for instance",например 
noun,380. ,step,шаг 
noun,381. ,"man, male",мужчина 
adverb,382. ,"alike, in like manner",равно 
noun,383. ,nose,нос 
adverb,384. ,"little, few, (See #630)",мало 
noun,385. ,attention,внимание 
noun,386. ,"captain, master",капитан 
noun,387. ,ear,ухо 
adverb,388. ,there,туда 
adverb,389. ,here,сюда 
verb,390. ,to play,играть 
verb,391. ,"to follow, come next",следовать 
verb,392. ,"to tell, narrate(See #403)",рассказать 
adjective,393. ,great,великий 
adverb,394. ,"indeed, really",действительно 
adverb,395. ,"too, too much",слишком 
adjective,396. ,heavy,тяжёлый 
verb,397. ,to sleep,спать 
verb,398. ,"to leave, abandon",оставить 
verb,399. ,"to enter, come in",войти 
adjective,400. ,long,длинный 
Part of speech,Rank ,English translation  ,Russian word  
noun,401. ,feeling,чувство 
verb,402. ,to keep silence,молчать 
verb,403. ,"to tell, narrate, (See #392)",рассказывать 
verb,404. ,"to answer, reply, (See #190)",отвечать 
verb,405. ,to stand; to become,становиться 
verb,406. ,to stop,остановиться 
noun,407. ,"bank, shore,  coast",берег 
noun,408. ,family,семья 
verb,409. ,to search,искать 
noun,410. ,general,генерал 
noun,411. ,"moment, instant",момент 
cardinal number,412. ,ten,десять 
verb,413. ,to begin(See #309),начать 
adjective,414. ,"next, following",следующий 
adjective,415. ,personal,личный 
noun,416. ,"labour, work",труд 
verb,417. ,"to believe; masterrussian, dot com",верить 
noun,418. ,group,группа 
adverb,419. ,a little,немного 
conjunction,420. ,"however, though",впрочем 
misc,421. ,"evidently, obviously",видно 
verb,422. ,to appear,являться 
noun,423. ,husband,муж 
particle,424. ,"really?, perhaps",разве 
noun,425. ,movement,движение 
noun,426. ,order,порядок 
noun,427. ,"answer, reply",ответ 
adverb,428. ,"quietly, softly, slowly",тихо 
adjective,429. ,"familiar, acquainted ",знакомый 
noun,430. ,newspaper,газета 
noun,431. ,help,помощь 
adjective,432. ,"strong, powerful",сильный 
adjective,433. ,"quick, fast",скорый 
noun,434. ,dog,собака 
noun,435. ,tree,дерево 
noun,436. ,snow,снег 
noun,437. ,dream,сон 
noun,438. ,"sense, meaning, purpose",смысл 
verb,439. ,to be able,смочь 
preposition,440. ,"against, opposite, contrary to",против 
verb,441. ,"to run, hurry",бежать 
noun,442. ,"yard, court",двор 
noun,443. ,"form, shape, uniform",форма 
adjective,444. ,"simple, easy, plain",простой 
verb,445. ,"to arrive, come",приехать 
pronoun,446. ,"different, other",иной 
verb,447. ,"to cry, shout(See #656)",кричать 
noun,448. ,"possibility, opportunity, chance",возможность 
noun,449. ,society,общество 
adjective,450. ,green,зеленый 
noun,451. ,"breast, chest",грудь 
noun,452. ,"corner, angle",угол 
verb,453. ,to open,открыть 
verb,454. ,"to happen, occur, take place",происходить 
adverb,455. ,"in harmony, well, all right",ладно 
noun,456. ,"black (as in ""she wears black"")(See #333)",черный 
noun,457. ,"century, age",век 
noun,458. ,pocket,карман 
verb of motion,459. ,"to go, ride, drive, travel",ехать 
noun,460. ,German,немец 
adverb,461. ,"probably, most likely(See #972)",наверное 
noun,462. ,lip,губа 
noun,463. ,uncle,дядя 
verb,464. ,"to come, arrive(See #253)",приходить 
adverb,465. ,often,часто 
adverb,466. ,"home(as in ""she came home"")",домой 
noun,467. ,fire,огонь 
noun,468. ,writer,писатель 
noun,469. ,army,армия 
noun,470. ,"state, condition; fortune",состояние 
noun,471. ,tooth,зуб 
noun,472. ,"line, queue, turn",очередь 
pronoun,473. ,"which (old-fashioned, literary); mostly found in set expressions: ни в ко́ем слу́чае, ни ко́им о́бразом, в кои ве́ки, на кой чёрт?",кой 
verb,474. ,"to rise, climb",подняться 
noun,475. ,stone,камень 
noun,476. ,guest,гость 
verb,477. ,"to appear, come in sight",показаться 
noun,478. ,wind,ветер 
verb,479. ,"to gather together, assemble; intend(See #981)",собираться 
verb,480. ,to hit; to find oneself,попасть 
verb,481. ,"to take, admit, accept(See #643)",принять 
adverb,482. ,"at first, from the beginning",сначала 
conjunction,483. ,or,либо 
verb,484. ,"to depart, set off",поехать 
verb,485. ,to hear,услышать 
verb,486. ,"to be able, know, can",уметь 
verb,487. ,to happen,случиться 
adjective,488. ,strange,странный 
adjective,489. ,"only, sole",единственный 
noun,490. ,company (military),рота 
noun,491. ,"law, act, statue",закон 
adjective,492. ,short,короткий 
noun,493. ,sea,море 
adjective,494. ,kind,добрый 
